carat,depth,table,pricerange,x,y,z
0.38,60.7,56.0,1,4.69,4.74,2.86
1.07,61.5,56.0,2,6.58,6.6,4.05
1.0,60.7,59.0,2,6.38,6.44,3.89
0.32,63.8,54.0,1,4.38,4.31,2.77
0.41,62.0,57.0,1,4.73,4.79,2.95
0.34,62.1,57.0,1,4.5,4.46,2.78
0.3,62.6,54.0,1,4.33,4.29,2.7
0.82,62.9,56.0,2,5.99,5.91,3.74
0.37,59.2,57.0,1,4.71,4.75,2.8
1.02,62.6,56.0,2,6.39,6.42,4.01
0.27,62.9,55.0,1,4.13,4.15,2.6
0.92,59.0,58.0,2,6.31,6.36,3.74
1.18,62.7,54.7,2,6.74,6.77,4.23
0.66,62.1,55.0,1,5.6,5.64,3.49
0.3,60.0,63.0,1,4.3,4.36,2.6
2.19,61.8,60.0,3,8.35,8.25,5.13
0.71,62.3,57.0,1,5.66,5.74,3.55
1.04,60.5,59.0,2,6.62,6.58,3.99
0.31,61.3,57.0,1,4.36,4.41,2.69
0.54,61.8,55.0,1,5.27,5.24,3.25
1.5,60.8,61.0,2,7.39,7.35,4.48
1.01,59.0,59.0,2,6.57,6.61,3.89
0.33,61.5,57.0,1,4.49,4.42,2.74
0.74,63.2,56.0,2,5.74,5.72,3.62
0.54,61.2,56.0,1,5.29,5.23,3.22
0.73,60.4,59.0,1,5.8,5.86,3.52
1.39,60.6,55.0,3,7.21,7.27,4.39
0.78,62.8,60.0,2,5.86,5.79,3.66
0.51,61.3,63.0,1,5.11,5.16,3.15
0.34,60.3,57.0,1,4.52,4.54,2.73
1.68,60.4,55.0,2,7.7,7.79,4.68
2.02,61.3,58.0,3,8.09,8.05,4.95
0.67,60.7,61.4,1,5.6,5.64,3.41
0.7,61.1,58.0,1,5.73,5.69,3.49
1.0,62.2,56.0,2,6.35,6.41,3.97
0.51,59.8,55.0,1,5.23,5.17,3.11
0.9,63.0,58.0,2,6.08,6.11,3.84
1.0,59.7,59.0,2,6.52,6.57,3.91
1.21,62.2,60.0,2,6.8,6.83,4.24
2.36,62.2,55.0,3,8.51,8.56,5.3
0.91,61.4,60.0,2,6.21,6.23,3.82
0.75,59.6,59.0,1,6.04,5.94,3.57
1.01,64.0,59.0,2,6.34,6.31,4.05
0.28,61.6,56.0,1,4.22,4.26,2.61
0.51,61.6,55.0,1,5.16,5.19,3.19
0.3,60.7,56.0,1,4.35,4.37,2.65
1.0,62.4,55.0,2,6.45,6.37,4.0
1.21,63.6,58.0,2,6.65,6.77,4.27
0.72,61.9,57.0,1,5.73,5.77,3.56
1.01,62.8,57.0,2,6.33,6.4,4.0
1.5,60.5,59.0,2,7.38,7.47,4.49
0.7,62.2,57.0,2,5.7,5.74,3.56
1.75,61.6,55.0,3,7.72,7.77,4.77
0.41,60.2,57.0,1,4.8,4.83,2.9
1.28,60.9,58.0,2,7.09,7.01,4.29
0.42,62.3,56.0,1,4.78,4.81,2.99
0.51,60.1,59.0,1,5.16,5.19,3.11
0.32,61.4,55.0,1,4.41,4.45,2.72
0.71,63.0,54.0,1,5.73,5.69,3.6
2.07,62.2,54.0,3,8.16,8.21,5.09
1.02,63.2,57.0,2,6.38,6.41,4.04
0.4,62.8,59.0,1,4.67,4.63,2.92
0.32,60.9,60.0,1,4.39,4.41,2.68
0.52,61.7,56.0,1,5.17,5.21,3.2
1.6,60.0,58.0,2,7.61,7.68,4.59
1.21,63.1,60.0,2,6.72,6.66,4.22
0.41,63.2,57.0,1,4.77,4.73,3.0
0.31,62.4,58.0,1,4.36,4.32,2.71
0.58,61.7,55.0,2,5.36,5.39,3.31
1.09,60.9,59.0,2,6.59,6.64,4.03
0.54,61.1,55.0,1,5.24,5.37,3.24
1.29,62.7,55.0,2,6.96,6.91,4.35
1.55,60.4,60.0,2,7.39,7.44,4.48
0.52,62.0,57.0,1,5.08,5.12,3.16
0.39,60.3,56.0,1,4.77,4.71,2.86
0.6,61.3,57.0,1,5.4,5.47,3.33
0.36,61.7,55.0,1,4.58,4.6,2.83
1.06,62.6,60.0,2,6.54,6.44,4.06
0.43,63.0,56.0,1,4.86,4.83,3.05
0.55,61.9,55.0,1,5.25,5.28,3.26
1.03,62.4,56.0,2,6.44,6.48,4.03
0.34,62.9,56.0,1,4.45,4.48,2.81
0.34,62.0,59.0,1,4.42,4.48,2.76
0.9,61.0,59.0,2,6.14,6.18,3.76
1.5,61.0,60.0,2,7.33,7.27,4.45
0.52,62.3,54.0,1,5.15,5.18,3.22
1.5,65.2,58.0,2,7.12,7.06,4.62
0.34,61.8,58.0,1,4.51,4.48,2.78
0.3,62.8,59.0,1,4.23,4.27,2.67
0.8,61.7,62.0,2,5.89,5.94,3.65
0.38,61.6,56.0,1,4.67,4.72,2.89
0.73,61.0,57.0,1,5.81,5.87,3.56
1.01,62.0,57.0,2,6.37,6.41,3.96
0.36,62.5,58.0,1,4.55,4.51,2.83
0.3,62.5,58.0,1,4.31,4.26,2.68
0.34,62.8,59.0,1,4.47,4.45,2.8
1.6,61.7,56.0,2,7.53,7.5,4.64
0.4,62.7,59.0,1,4.72,4.69,2.95
1.7,63.6,59.0,2,7.53,7.48,4.77
0.31,62.4,54.0,1,4.36,4.39,2.73
0.72,63.0,56.0,1,5.66,5.73,3.59
1.59,62.4,55.0,2,7.45,7.48,4.66
1.08,63.7,57.0,2,6.49,6.54,4.15
0.33,59.5,59.0,1,4.48,4.53,2.68
1.51,64.0,59.0,2,7.25,7.19,4.62
1.03,63.5,56.0,2,6.37,6.33,4.03
0.95,61.7,56.0,2,6.31,6.34,3.9
0.31,61.4,57.0,1,4.37,4.33,2.67
0.72,60.3,58.0,1,5.81,5.76,3.49
0.41,62.7,57.0,1,4.78,4.73,2.98
1.32,65.8,55.0,2,6.87,6.83,4.51
0.4,63.1,61.0,1,4.71,4.67,2.96
1.0,63.8,60.0,2,6.35,6.31,4.04
0.51,62.5,60.0,1,5.08,5.1,3.18
1.51,62.3,55.0,3,7.29,7.35,4.56
0.55,62.3,56.0,1,5.22,5.27,3.27
0.55,61.7,56.0,1,5.25,5.31,3.26
1.14,61.1,55.0,2,6.78,6.74,4.13
0.32,61.9,56.0,1,4.38,4.41,2.72
0.9,62.3,56.0,2,6.19,6.1,3.83
0.3,62.0,55.0,1,4.34,4.31,2.68
0.24,61.5,56.0,1,3.99,4.01,2.46
1.02,59.9,62.0,2,6.5,6.53,3.9
1.24,62.7,55.0,2,6.82,6.87,4.29
0.3,61.9,57.0,1,4.3,4.32,2.67
0.34,61.4,57.0,1,4.49,4.5,2.76
1.75,62.9,57.0,2,7.71,7.59,4.81
0.57,61.0,58.0,1,5.31,5.34,3.25
1.08,63.1,57.0,2,6.56,6.5,4.12
1.04,59.4,60.0,2,6.56,6.58,3.9
0.57,61.1,57.0,1,5.33,5.37,3.27
0.7,62.0,59.0,1,5.68,5.7,3.53
0.51,62.4,55.0,1,5.11,5.14,3.2
2.03,62.9,57.0,3,8.06,8.02,5.06
0.34,60.2,58.0,1,4.56,4.51,2.73
1.03,62.2,57.0,2,6.47,6.42,4.01
0.91,61.3,61.0,2,6.18,6.25,3.81
0.32,63.0,57.0,1,4.37,4.33,2.74
0.7,63.1,54.0,1,5.61,5.67,3.56
0.24,58.8,58.0,1,4.05,4.08,2.39
0.31,62.0,56.0,1,4.38,4.36,2.71
0.4,62.3,60.0,1,4.65,4.69,2.91
0.3,62.8,57.0,1,4.29,4.25,2.68
0.52,60.9,58.0,1,5.19,5.22,3.17
0.7,60.0,60.0,1,5.72,5.56,3.5
0.42,61.8,57.0,1,4.82,4.79,2.97
0.5,62.3,59.0,1,5.1,5.04,3.16
0.7,62.5,57.0,2,5.62,5.67,3.53
0.63,61.9,55.0,1,5.46,5.5,3.4
1.13,61.1,59.0,2,6.72,6.69,4.1
1.2,63.1,61.0,2,6.66,6.58,4.18
1.21,59.6,60.0,2,6.91,6.89,4.11
0.31,60.2,55.0,1,4.43,4.45,2.67
0.57,62.0,57.0,1,5.3,5.35,3.3
0.31,62.1,54.0,1,4.33,4.37,2.7
1.26,62.7,58.0,2,6.95,6.9,4.34
1.03,62.3,59.0,2,6.42,6.38,3.99
0.8,62.2,57.0,2,5.95,5.98,3.71
0.24,62.9,58.0,1,3.96,3.99,2.5
1.0,61.0,55.0,2,6.45,6.41,3.92
1.0,63.1,64.0,2,6.31,6.25,3.96
0.4,63.6,55.0,1,4.68,4.72,2.99
0.55,61.6,55.0,1,5.32,5.29,3.27
1.24,62.3,54.0,2,6.88,6.9,4.29
0.35,60.8,57.0,1,4.61,4.57,2.79
1.12,59.7,60.0,2,6.77,6.72,4.03
0.54,61.2,56.0,1,5.25,5.26,3.22
0.5,63.0,61.0,1,5.07,5.03,3.18
0.33,60.3,58.0,1,4.52,4.5,2.72
0.3,61.4,58.0,1,4.3,4.33,2.65
1.04,60.9,59.0,2,6.58,6.62,4.02
0.31,63.1,55.0,1,4.36,4.33,2.74
2.11,62.2,60.0,3,8.15,8.19,5.08
0.34,61.7,56.0,1,4.52,4.49,2.78
0.33,59.9,56.0,1,4.54,4.51,2.71
0.35,62.5,55.0,1,4.5,4.52,2.82
1.7,62.9,57.0,3,7.59,7.52,4.75
0.51,60.1,60.0,1,5.15,5.17,3.1
0.41,62.7,57.0,1,4.73,4.78,2.98
0.3,62.8,56.0,1,4.28,4.32,2.7
0.77,62.5,60.0,1,5.84,5.8,3.64
1.7,62.7,58.0,2,7.57,7.52,4.73
0.3,63.3,59.0,1,4.22,4.28,2.69
1.61,61.2,55.0,2,7.57,7.62,4.65
1.02,62.3,58.1,2,6.41,6.38,4.0
0.52,61.9,61.0,1,5.11,5.13,3.17
1.52,61.9,57.0,2,7.33,7.37,4.55
0.55,61.0,57.0,1,5.31,5.32,3.24
1.01,60.4,59.0,2,6.54,6.5,3.94
0.41,62.9,57.0,1,4.72,4.76,2.98
1.03,61.3,56.0,2,6.55,6.51,4.0
1.26,61.7,58.0,2,6.99,6.91,4.29
0.31,61.0,60.0,1,4.35,4.37,2.66
1.09,61.8,58.0,2,6.63,6.58,4.08
0.51,60.4,59.0,1,5.16,5.2,3.13
0.4,59.1,61.0,1,4.86,4.88,2.88
0.33,62.7,54.0,1,4.45,4.42,2.78
1.01,62.5,60.0,2,6.31,6.37,3.96
0.38,60.1,60.0,1,4.7,4.75,2.84
0.56,62.0,56.0,1,5.2,5.22,3.23
0.27,62.6,58.0,1,4.11,4.16,2.59
0.92,62.5,55.0,2,6.25,6.3,3.92
0.9,62.7,55.0,2,6.11,6.17,3.85
0.31,61.9,58.0,1,4.39,4.37,2.71
1.01,61.8,62.0,2,6.28,6.35,3.9
0.77,61.1,56.0,2,5.89,5.92,3.61
2.1,61.3,59.0,3,8.21,8.27,5.05
1.51,61.6,57.0,3,7.41,7.32,4.54
0.3,60.2,57.0,1,4.37,4.3,2.61
0.71,60.6,57.0,1,5.78,5.83,3.52
1.52,62.2,59.0,2,7.38,7.32,4.57
0.34,61.6,56.0,1,4.47,4.49,2.76
2.04,62.5,61.0,3,8.08,8.04,5.04
0.32,58.4,57.0,1,4.51,4.53,2.64
0.7,61.9,58.0,1,5.71,5.72,3.54
0.8,62.5,59.0,1,5.88,5.92,3.69
2.25,61.8,61.0,3,8.46,8.39,5.21
0.3,61.7,55.0,1,4.34,4.31,2.67
0.55,61.7,57.0,1,5.29,5.24,3.25
0.39,59.1,59.0,1,4.81,4.76,2.83
0.59,62.1,56.0,1,5.36,5.4,3.34
0.35,62.1,56.0,1,4.56,4.52,2.82
1.0,65.6,66.0,2,6.1,6.01,3.97
0.9,62.4,55.0,2,6.15,6.19,3.85
1.17,61.6,56.0,2,6.77,6.83,4.18
1.11,59.4,58.0,2,6.81,6.75,4.03
0.34,61.4,57.0,1,4.49,4.54,2.77
0.9,65.4,57.0,2,6.04,5.95,3.92
0.31,62.0,58.0,1,4.31,4.37,2.69
0.4,61.1,58.0,1,4.72,4.74,2.89
0.3,63.1,56.0,1,4.27,4.29,2.7
1.3,58.1,59.0,2,7.19,7.16,4.17
1.09,63.2,59.0,2,6.54,6.5,4.12
0.41,59.1,58.0,1,4.88,4.83,2.87
2.63,62.3,61.0,2,8.76,8.81,5.47
1.4,61.9,57.0,3,7.2,7.14,4.44
1.97,61.1,58.0,3,8.05,8.11,4.94
0.7,60.6,60.0,2,5.71,5.75,3.47
0.78,63.1,56.0,1,5.88,5.82,3.69
1.03,64.7,63.0,2,6.36,6.31,4.1
0.56,61.7,56.0,1,5.26,5.3,3.26
1.66,61.7,58.0,3,7.52,7.59,4.66
0.53,62.9,54.0,1,5.19,5.15,3.25
1.01,59.4,58.0,2,6.51,6.53,3.93
0.41,61.2,57.0,1,4.77,4.8,2.93
1.01,61.1,58.0,2,6.5,6.46,3.96
1.33,62.7,57.0,2,7.05,6.98,4.4
0.3,61.8,63.0,1,4.29,4.26,2.64
0.32,61.7,55.0,1,4.39,4.42,2.72
0.39,60.8,58.0,1,4.72,4.76,2.88
1.24,61.9,55.0,2,6.85,6.91,4.27
0.76,61.9,54.0,2,5.87,5.9,3.64
0.51,61.6,55.0,1,5.15,5.2,3.19
1.51,62.0,58.0,2,7.31,7.26,4.52
1.08,62.5,57.0,2,6.56,6.6,4.11
0.81,61.2,56.0,1,6.03,6.0,3.68
0.52,61.5,57.0,1,5.18,5.22,3.19
0.52,61.5,60.5,1,5.11,5.16,3.16
1.0,63.4,59.0,2,6.27,6.24,4.0
1.71,58.8,60.0,3,7.85,7.8,4.6
0.55,61.6,57.0,1,5.29,5.23,3.24
0.57,62.1,56.0,1,5.29,5.34,3.3
1.01,62.8,61.0,2,6.33,6.25,3.95
1.6,60.8,58.0,2,7.59,7.51,4.59
0.31,61.9,54.5,1,4.33,4.36,2.69
0.37,61.6,54.0,1,4.61,4.64,2.85
1.7,63.4,57.0,2,7.54,7.57,4.79
0.5,66.5,59.0,1,5.01,4.91,3.3
0.7,61.5,55.0,2,5.73,5.75,3.53
0.29,61.6,56.0,1,4.26,4.31,2.64
0.4,62.3,54.0,1,4.74,4.77,2.96
1.01,62.5,60.0,2,6.36,6.41,3.99
0.32,62.2,55.0,1,4.39,4.43,2.74
0.51,61.6,55.0,1,5.17,5.19,3.19
1.24,60.0,60.0,2,6.94,6.88,4.15
0.52,61.3,60.0,1,5.15,5.23,3.18
0.42,62.0,57.0,1,4.83,4.81,2.99
0.71,60.2,60.0,1,5.8,5.77,3.48
0.71,62.2,54.0,1,5.71,5.75,3.56
0.71,60.9,56.0,2,5.76,5.79,3.52
0.51,62.7,58.0,1,5.09,5.12,3.2
0.78,62.9,56.0,2,5.85,5.88,3.69
0.3,62.5,57.0,1,4.27,4.31,2.68
0.41,62.6,55.0,1,4.79,4.77,2.99
1.2,62.8,57.0,2,6.73,6.78,4.24
2.01,64.9,56.0,2,7.88,7.81,5.09
0.39,62.2,54.0,1,4.67,4.7,2.91
0.57,61.8,56.0,1,5.34,5.31,3.29
1.0,64.3,59.0,2,6.21,6.3,4.02
0.51,61.5,58.0,1,5.14,5.11,3.15
0.58,61.2,56.0,1,5.37,5.41,3.3
1.05,60.5,55.0,2,6.67,6.58,4.01
0.51,62.4,55.0,1,5.11,5.14,3.2
1.59,60.7,61.1,2,7.5,7.56,4.57
0.73,62.1,56.0,2,5.77,5.8,3.59
0.42,62.0,55.0,1,4.84,4.83,3.0
1.5,63.9,60.0,2,7.17,7.22,4.6
1.06,61.2,55.0,2,6.61,6.57,4.03
0.4,62.4,54.0,1,4.73,4.76,2.96
0.56,61.2,54.0,1,5.36,5.32,3.27
0.58,62.1,56.0,1,5.33,5.37,3.32
0.71,61.2,55.0,2,5.73,5.84,3.54
0.53,62.2,55.0,1,5.17,5.22,3.23
1.5,61.0,57.0,3,7.32,7.4,4.49
0.27,58.6,57.0,1,4.3,4.33,2.53
1.1,59.7,57.8,2,6.7,6.76,4.01
1.07,60.0,59.0,2,6.6,6.56,3.95
1.2,61.8,56.0,2,6.81,6.85,4.22
2.02,56.2,61.0,3,8.8,8.33,4.81
0.37,61.9,55.0,1,4.63,4.67,2.87
0.54,61.2,55.0,1,5.23,5.29,3.22
0.71,62.9,57.0,1,5.68,5.7,3.58
1.67,62.4,54.0,2,7.6,7.63,4.75
0.43,60.8,59.0,1,4.91,4.86,2.97
0.51,60.1,59.0,1,5.19,5.16,3.11
1.27,60.9,57.0,2,7.02,6.97,4.26
0.55,61.4,55.0,1,5.28,5.24,3.23
0.35,62.1,57.0,1,4.55,4.53,2.82
0.54,61.4,57.5,2,5.25,5.28,3.23
1.03,57.9,59.0,1,6.67,6.62,3.85
1.09,61.1,59.0,2,6.69,6.63,4.07
2.31,62.1,58.0,3,8.49,8.42,5.25
0.31,62.2,55.0,1,4.35,4.37,2.71
0.34,61.9,57.0,1,4.48,4.44,2.76
1.03,65.7,58.0,2,6.32,6.26,4.13
0.54,57.5,61.0,1,5.47,5.39,3.12
0.5,61.2,56.0,1,5.13,5.17,3.15
0.54,63.3,57.0,1,5.15,5.22,3.28
1.01,62.2,59.0,2,6.44,6.35,3.98
0.32,62.8,60.0,1,4.32,4.34,2.72
0.3,60.4,61.0,1,4.3,4.34,2.61
1.5,61.2,59.0,2,7.36,7.41,4.52
1.01,64.5,58.0,2,6.27,6.31,4.06
0.4,61.9,57.0,1,4.71,4.69,2.91
0.71,60.0,64.0,1,5.79,5.71,3.45
0.5,62.0,59.0,1,5.1,5.06,3.15
0.74,61.9,55.0,2,5.79,5.84,3.6
0.71,61.9,58.0,1,5.66,5.69,3.51
0.65,61.6,57.0,1,5.55,5.59,3.43
0.57,62.1,55.0,1,5.32,5.34,3.31
0.3,61.1,56.0,1,4.36,4.38,2.67
0.7,62.5,62.0,1,5.58,5.56,3.48
1.51,60.7,58.0,2,7.41,7.38,4.49
0.41,62.2,57.0,1,4.74,4.78,2.96
0.38,61.6,58.0,1,4.63,4.66,2.86
0.83,62.1,58.0,2,6.01,6.04,3.74
0.3,62.9,56.0,1,4.25,4.3,2.69
1.03,61.9,58.0,2,6.49,6.43,4.0
1.01,62.1,60.0,2,6.4,6.44,3.99
0.7,63.5,59.0,1,5.53,5.49,3.5
0.65,61.5,55.0,1,5.59,5.63,3.45
0.27,62.5,56.0,1,4.15,4.18,2.6
0.52,62.8,58.0,1,5.11,5.14,3.22
0.3,63.0,56.0,1,4.24,4.27,2.68
1.0,62.7,62.0,2,6.23,6.21,3.9
0.7,61.9,58.0,1,5.64,5.6,3.48
0.32,63.1,57.0,1,4.37,4.38,2.76
1.03,62.4,57.0,2,6.52,6.47,4.05
0.3,61.2,57.0,1,4.32,4.34,2.65
0.3,61.9,59.0,1,4.3,4.32,2.67
1.02,62.4,58.0,2,6.37,6.42,3.99
1.01,62.2,58.0,2,6.36,6.4,3.97
0.31,61.3,56.0,1,4.38,4.4,2.69
1.16,62.2,58.0,2,6.75,6.68,4.18
0.27,60.8,56.0,1,4.25,4.23,2.58
2.04,61.4,59.0,3,8.04,8.14,4.97
0.76,60.9,58.0,1,5.9,5.85,3.58
1.04,62.5,62.0,2,6.39,6.45,4.01
1.55,61.8,55.0,2,7.4,7.44,4.58
0.31,62.6,57.0,1,4.27,4.35,2.7
0.41,59.7,59.0,1,4.84,4.81,2.88
0.7,60.9,61.0,1,5.66,5.71,3.46
0.71,62.9,58.0,1,5.62,5.66,3.55
1.6,61.1,57.0,2,7.55,7.5,4.6
0.53,60.0,57.0,1,5.3,5.27,3.17
1.38,61.2,59.0,2,7.19,7.13,4.38
0.7,62.8,60.0,1,5.66,5.68,3.56
0.35,62.5,57.0,1,4.48,4.54,2.82
